date,tqqq_close_usd_split_adj,cnn_fear_greed
2023-03-02,11.0550,52.4571
2023-03-03,11.7300,55.6857
2023-03-06,11.7800,55.2571
2023-03-07,11.3400,48.5143
2023-03-08,11.4950,49.8286
2023-03-09,10.8900,37.5429
2023-03-10,10.4400,26.8857
2023-03-13,10.6650,23.3571
2023-03-14,11.3900,25.0857
2023-03-15,11.5550,22.6857
2023-03-16,12.4700,32.5714
2023-03-17,12.2850,27.0000
2023-03-20,12.4150,30.4286
2023-03-21,12.9400,43.4857
2023-03-22,12.3400,41.0286
2023-03-23,12.7800,38.3429
2023-03-24,12.9100,37.7143
2023-03-27,12.6450,40.2000
2023-03-28,12.4350,39.6000
2023-03-29,13.1150,41.4571
2023-03-30,13.4700,45.2286
2023-03-31,14.1300,49.4857
2023-04-03,14.0300,61.4857
2023-04-04,13.8900,50.2286
2023-04-05,13.4450,52.6286
2023-04-06,13.7150,55.2571
2023-04-10,13.6850,57.9143
2023-04-11,13.4200,58.4857
2023-04-12,13.0650,60.7429
2023-04-13,13.8150,63.1714
2023-04-14,13.7350,65.7143
2023-04-17,13.7500,67.0857
2023-04-18,13.7600,65.4857
2023-04-19,13.7300,67.2571
2023-04-20,13.4100,64.0571
2023-04-21,13.4350,63.5143
2023-04-24,13.3550,63.4857
2023-04-25,12.6000,57.0571
2023-04-26,12.8100,52.4000
2023-04-27,13.8450,58.3143
2023-04-28,14.1250,59.4286
2023-05-01,14.0850,59.4286
2023-05-02,13.7100,55.5143
2023-05-03,13.4400,54.6286
2023-05-04,13.2900,49.6000
2023-05-05,14.1050,53.8857
2023-05-08,14.2200,57.1429
2023-05-09,13.9450,59.5714
2023-05-10,14.3950,59.9714
2023-05-11,14.5150,59.0571
2023-05-12,14.3650,57.3429
2023-05-15,14.5850,57.2571
2023-05-16,14.6400,55.2857
2023-05-17,15.1650,60.2571
2023-05-18,15.9800,64.9143
2023-05-19,15.8700,65.4571
2023-05-22,16.0350,67.8571
2023-05-23,15.4150,65.8000
2023-05-24,15.1650,61.8286
2023-05-25,16.2600,62.6857
2023-05-26,17.4900,65.7143
2023-05-30,17.7350,66.0857
2023-05-31,17.3750,64.1714
2023-06-01,18.0050,68.0571
2023-06-02,18.4100,75.4286
2023-06-05,18.4500,69.4857
2023-06-06,18.4300,73.5143
2023-06-07,17.4900,74.4571
2023-06-08,18.0900,75.7714
2023-06-09,18.3100,76.9714
2023-06-12,19.2450,78.0571
2023-06-13,19.6750,79.6286
2023-06-14,20.0950,79.6286
2023-06-15,20.8000,80.8857
2023-06-16,20.4000,81.2571
2023-06-20,20.3000,80.1143
2023-06-21,19.4250,80.1143
2023-06-22,20.0700,80.0571
2023-06-23,19.4750,75.7143
2023-06-26,18.7050,73.4571
2023-06-27,19.6300,75.4857
2023-06-28,19.7500,76.5143
2023-06-29,19.6150,79.2000
2023-06-30,20.5000,79.4857
2023-07-03,20.6400,82.2286
2023-07-05,20.6250,79.2571
2023-07-06,20.1400,77.9143
2023-07-07,19.9350,77.6857
2023-07-10,19.9500,76.6857
2023-07-11,20.2350,78.2857
2023-07-12,20.9850,78.1714
2023-07-13,22.0300,79.4000
2023-07-14,22.0100,79.8000
2023-07-17,22.6200,80.0286
2023-07-18,23.1600,81.6857
2023-07-19,23.1600,82.3429
2023-07-20,21.5350,80.8571
2023-07-21,21.3450,81.0286
2023-07-24,21.4300,82.5143
2023-07-25,21.8600,81.2286
2023-07-26,21.6350,80.6000
2023-07-27,21.4500,77.6571
2023-07-28,22.6100,76.9143
2023-07-31,22.6550,77.6286
2023-08-01,22.4800,77.3429
2023-08-02,21.0100,77.3429
2023-08-03,20.8600,73.6286
2023-08-04,20.5700,64.5000
2023-08-07,21.0800,72.0571
2023-08-08,20.5400,69.2000
2023-08-09,19.8550,67.3143
2023-08-10,19.9450,66.3429
2023-08-11,19.5450,65.0286
2023-08-14,20.1950,66.2857
2023-08-15,19.5750,54.5000
2023-08-16,18.9250,49.4857
2023-08-17,18.2850,46.1429
2023-08-18,18.2000,43.6571
2023-08-21,19.0800,43.4857
2023-08-22,18.9950,43.4429
2023-08-23,19.8900,50.1714
2023-08-24,18.5800,40.5857
2023-08-25,19.0200,47.0286
2023-08-28,19.4450,45.2857
2023-08-29,20.6850,49.1714
2023-08-30,21.0300,50.4286
2023-08-31,21.2200,52.9429
2023-09-01,21.1450,55.0286
2023-09-05,21.2000,59.0857
2023-09-06,20.6400,56.7143
2023-09-07,20.1900,53.6286
2023-09-08,20.2500,51.9143
2023-09-11,20.9400,52.2000
2023-09-12,20.2700,51.4000
2023-09-13,20.4700,51.4000
2023-09-14,20.9500,54.4286
2023-09-15,19.8750,52.0286
2023-09-18,19.9200,49.4857
2023-09-19,19.8000,49.9429
2023-09-20,18.8750,48.2857
2023-09-21,17.8000,37.1571
2023-09-22,17.8125,33.1571
2023-09-25,18.0500,38.4286
2023-09-26,17.2450,24.2286
2023-09-27,17.3500,22.8286
2023-09-28,17.7700,29.0000
2023-09-29,17.8100,28.4000
2023-10-02,18.2350,28.3143
2023-10-03,17.2700,20.5286
2023-10-04,17.9700,20.9857
2023-10-05,17.7800,20.3286
2023-10-06,18.6750,27.7143
2023-10-09,18.9500,29.2571
2023-10-10,19.2600,32.3143
2023-10-11,19.6700,34.3429
2023-10-12,19.4400,35.6857
2023-10-13,18.7050,26.2714
2023-10-16,19.3350,35.7429
2023-10-17,19.1500,39.1429
2023-10-18,18.3400,30.5714
2023-10-19,17.8500,29.5429
2023-10-20,17.0450,22.8571
2023-10-23,17.1950,25.8429
2023-10-24,17.6800,33.4857
2023-10-25,16.3850,25.2143
2023-10-26,15.4300,22.7143
2023-10-27,15.6500,21.6143
2023-10-30,16.1550,29.2000
2023-10-31,16.3900,30.1429
2023-11-01,17.2350,32.1714
2023-11-02,18.1500,37.6857
2023-11-03,18.7900,36.1143
2023-11-06,19.0050,38.9143
2023-11-07,19.5400,39.6286
2023-11-08,19.5750,39.7714
2023-11-09,19.1100,41.0000
2023-11-10,20.3850,41.4571
2023-11-13,20.2000,39.8857
2023-11-14,21.4700,46.6000
2023-11-15,21.5300,52.5429
2023-11-16,21.5650,55.0571
2023-11-17,21.5800,58.8571
2023-11-20,22.3500,61.2857
2023-11-21,21.9450,61.1714
2023-11-22,22.2000,65.0571
2023-11-24,22.0900,66.8571
2023-11-27,22.0250,65.3143
2023-11-28,22.2000,65.0857
2023-11-29,22.1200,63.2857
2023-11-30,21.9350,64.3714
2023-12-01,22.1200,64.5143
2023-12-04,21.4900,63.7143
2023-12-05,21.6450,65.1429
2023-12-06,21.2600,63.9714
2023-12-07,22.1500,66.1429
2023-12-08,22.4150,65.9429
2023-12-11,22.9850,67.2857
2023-12-12,23.5400,67.8857
2023-12-13,24.3700,67.5429
2023-12-14,24.3300,70.5429
2023-12-15,24.6200,69.4571
2023-12-18,25.1350,70.4857
2023-12-19,25.5100,82.9714
2023-12-20,24.2700,75.5714
2023-12-21,25.0725,77.0000
2023-12-22,25.1750,79.7429
2023-12-26,25.6350,81.9429
2023-12-27,25.7700,81.1714
2023-12-28,25.7050,81.2571
2023-12-29,25.3500,80.7143
